Id,Delay
668,1573.82279498974
669,2490.14255389991
670,2860.73828801822
671,1949.39577170835
672,4833.57480693695
673,1393.87393358713
674,3231.59052556859
675,1914.12164274509
676,2161.85137800825
677,2121.54472318282
678,2294.77990608352
679,4096.6980801669
680,3739.44690575822
681,2461.74584051949
682,2188.84577802868
683,2744.60448468994
684,1901.99684737173
685,4174.73297886924
686,3558.07455455477
687,5201.09641162422
688,4208.39802718257
689,2251.74113732442
690,2491.77831778055
691,1819.59131710736
692,2965.14074225107
693,2705.63570841423
694,2540.0039432082
695,4324.85583082635
696,2284.6316370902
697,2096.98142850978
698,2266.17814540718
699,2378.11169318755
700,3094.0070211381
701,1508.9086891549
702,1675.10311825521
703,2013.3752996201
704,2549.34682296209
705,2352.83762573457
706,4169.50370711185
707,4623.60383945358
708,3315.90738356808
709,1617.30931587645
710,2157.55515989673
711,1520.29873367902
712,2791.17427267148
713,4814.70539158017
714,2020.19005296063
715,2327.99305858877
716,3234.30314497298
717,4202.41824673604
718,4014.08876573215
719,2265.2152327
720,2201.78886629208
721,2898.31487610535
722,4248.47405524428
723,1741.71755667152
724,3855.93155734189
725,3382.80490700527
726,2268.36258401498
727,2696.27841919478
728,2744.86493254875
729,4252.67446538602
730,1503.30845210409
731,8805.29973042368
732,2125.69546593283
733,1370.17093663217
734,4235.39448283667
735,1760.22835302088
736,6565.75383164204
737,2546.04426598215
738,2266.0987446148
739,1694.9517104906
740,3537.94955315038
741,2995.05844854369
742,2147.6614553058
743,3085.25086893419
744,4086.54599121637
745,2275.97567515658
746,2782.9836392653
747,3157.35520144411
748,3467.77811531902
749,4760.80941255883
750,2163.940512156
751,1848.49048414633
752,2187.27066638758
753,2891.66772509147
754,1549.38948256158
755,1364.25661558365
756,3754.83356931158
757,4228.47703378325
758,2653.63696210778
759,3338.71076626615
760,2589.39717233028
761,1831.17862859698
762,3975.30007848354
763,2179.6942360144
764,2312.72694899949
765,4359.78524224224
766,2576.62097864918
767,3590.43807726308
768,3919.20446967154
769,4734.47318733453
770,2316.81393778831
771,3741.31807231541
772,2017.41475083894
773,1560.78743530671
774,3007.81997384446
775,2024.88844173179
776,1665.24666751341
777,1881.20682327838
778,2843.770429998
779,3457.21218745379
780,2490.48568007263
781,5217.73075105964
782,2665.04980279772
783,2692.76875034265
784,3455.36193451275
785,4238.68680111738
786,2573.8320277074
787,5151.6323886449
788,2378.2163044068
789,4784.28805997619
790,3548.9853861686
791,2934.38738203597
792,2126.12629723917
793,2054.0775197326
794,1950.91002381121
795,2458.84674019306
796,1921.4263943218
797,1934.10186530617
798,4056.81308748249
799,1781.73083022846
800,3529.01830597244
801,1668.48701919425
802,5136.84378236545
803,3331.93106700387
804,2658.11772737201
805,2922.55658667603
806,3170.17172471812
807,8965.94882244915
808,2419.82980119382
809,2268.15280330193
810,1532.06783529165
811,3521.63299832705
812,4244.2195442268
813,2401.61775975908
814,1468.80750886591
815,1385.79213927315
816,2547.68119778705
817,1509.00053674123
818,3388.06597246137
819,2009.55260509885
820,3531.99582841418
821,3575.46537852969
822,1689.96912453524
823,4882.55555543661
824,2070.83007352774
825,2620.37856430101
826,1400.98772822222
827,1889.96347343733
828,2548.14422994733
829,2387.93611341888
830,3515.36561053045
831,2200.95189433234
832,1582.54609186861
833,1906.54784964078
834,2276.46046385287
835,4949.25479229086
836,2429.90689502255
837,2815.10430889248
838,1266.9777305482
839,8449.01841594742
840,1613.78016038691
841,1725.97908660962
842,1815.94858127716
843,1561.98263926589
844,3433.39098725805
845,2071.27120832694
846,1984.92876577828
847,2414.92190032516
848,2449.03737533065
849,4194.13266710204
850,1883.29399549347
851,2051.64785217353
852,3071.25923440331
853,5082.46361094706
854,1776.85052758508
855,1799.1713160442
856,1635.53096352081
857,1839.30744707574
858,2003.02763531173
859,3705.55172838677
860,1933.70357249201
861,2465.11333351655
862,2340.63979706361
863,3966.63197979315
864,2368.77415596258
865,1856.2981523415
866,2732.36670270654
867,4146.04522400341
868,1854.0027540176
869,1772.62710755578
870,2035.86533302218
871,2507.89377923618
872,4630.58394006398
873,3691.38730847439
874,1558.74034275824
875,1714.22317515158
876,1684.59790908385
877,1439.5501092008
878,1839.96448191683
879,2658.34867131159
880,1363.87109864162
881,2228.8410532556
882,4072.76036309567
883,3431.83173085487
884,4302.21995504697
885,2808.57853338699
886,1893.62280186058
887,2914.50195847727
888,2860.11046226173
889,4048.0609022397
890,3191.40246145213
891,1791.74576852113
892,1938.11074079513
893,1954.06775645427
894,4424.30849231279
895,3582.62088614589
896,1807.67585413384
897,3183.86037350287
898,2434.76200604865
899,1681.08101356451
900,2580.29891298925
901,4680.12461429323
902,2893.93119146237
903,1551.61693892446
904,2415.26799252538
905,2732.06878118751
906,2329.21399321707
907,4072.93682477921
908,4029.81987150245
909,4017.57605534099
910,2547.33459084677
911,2605.48537643162
912,2328.00312381943
913,3980.34849034516
914,2147.8065968748
915,2566.20250110337
916,2675.055080047
917,2072.85144339338
918,8767.55978706147
919,1857.99984245538
920,1719.53426124439
921,3176.46034156299
922,2573.81333656017
923,4224.38934568069
924,3827.58771966953
925,2204.63210187168
926,1626.28091224272
927,3973.89556240527
928,8575.36861929874
929,4095.53089142498
930,4164.57301676528
931,4937.77013671684
932,1524.17425601598
933,2341.89373194068
934,1703.91915444477
935,1873.81652240633
936,2142.98960635325
937,1943.54558040645
938,1819.84771794633
939,2183.01013630632
940,4260.65657941699
941,3575.38863095816
942,2161.28629185162
943,3217.10305207553
944,8111.65189670933
945,4163.97552162532
946,1432.37943617366
947,2410.33226160501
948,2423.07004734365
949,2772.88065317535
950,2480.35084829312
951,5995.13815084148
952,1575.86573469399
953,2805.75872302991
954,3240.08001396873
955,1647.80515803606
956,1727.64130583263
957,2470.99045646751
958,4123.63355845939
959,3574.76957769937
960,1854.8610550156
961,2353.03558620918
962,2168.18796319071
963,2087.84851231939
964,1692.41135846471
965,4440.5664717068
966,4936.2707272855
967,4152.07147712383
968,1928.91228200886
969,2107.96501327331
970,4946.11754406611
971,4395.28074281667
972,1950.77474069839
973,2833.73273853608
974,1605.15725468261
975,2294.2554008118
976,1580.14072019313
977,3357.33509002127
978,1735.25439472572
979,1779.17488232095
980,3415.85324265017
981,1883.12449266695
982,1565.95515930084
983,2127.18388318884
984,3068.91338538984
985,2309.90545672121
986,4129.21096988852
987,3453.92619182488
988,3384.35521336683
989,2630.35830675779
